Title,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Business Intelligence Data Engineer,Golden State Foods,"Irvine, CA",14 days ago,10-29-2020,"Provide application analysis and data modeling design to collect data for centralized data warehouse.
Map source system data to data warehouse tables.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbRDI-lGFs5QlqkohoUB2e5sgCs9HeEJ9hgGj-UwEHEp6HU_wDtQH-DctAHXoIBBURi2bymK4Y27QbYvWtXiEiDWi44xXKOyQ46pBE_CTCeWXG2gZDuByA9p-d1lxLoK_Vqk0G1RPuYiqs8ZY33sIm4buAabCv7BodlzvEQOYMi01Z-RYc0SRnk9rVVlXWw5uz645ebEBvVrIXyOVOX2an7V2BBs4LSefn8IqHU_NXlCb2h1MgDQP4tRhfi6AhFCmFB8ihCeTd27qKqIJYO0LPXmn52Bv5d335hDFuqCvj4sgIKGqDKznpLLkHwO0UOGA9v6_ObH-jwpcQKnQif9ZUTPfeFfjFGrceRw2O0W60zx7pl_dMUAkeSBGKMdzMRwGkvQUTHHdsYV_CUhfCCSzSSjN1HwVZ7jheLT_uhUYZHE_idX7tUuFdDLoiIdk2wxml7xTuITiCSCUqdHzq5xQnfNO8CC6pOzldb0AD1YRRAg==&p=0&fvj=1&vjs=3
Data Engineer,Itility,"San Diego, CA",8 days ago,10-29-2020,"As Hadoop data engineer, you are responsible for the functional part of provisioning data - eg building data inserted pipelines and data connectors.","$80,000 - $125,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHMQdqSgwEG8kiMfPxdvpQEyd6VhWmdX3N1gBfyFHBJtVvgJvpm7HvHrjtCPT_OD71X1gY5yOAKTMF4dP6PXGabc0ghyCplinY-NIg3MWHm6My0FmspfGmqkQPYx61RMPQKhFSW_xd20QsxQ1rxd4w4ak2XtNFCywO64PtokIz5f9OwNvndIH0kPeNUJ7rt3S1oBFoGlpoLmsLB6k0J5YlAS7vyZji3ZUwLZZ-3I0hG4Ewfo6pSouA_M6ZOgv4XG3R33ZmBXqPDUkNF0HBmBXn8bwhf4H-rlObHWwF6PJ6RpF4rVVYeP64pjyGCRyxMOOFeozsWIaS8I3hft_uuolGxiwG7q1TleZWmHmXi2zOzPype9zt5YjxVIRp3oIQFxU_96EETt8g_aLWel2FSAb_sK4-wvFC7MDeAvPtIjbtRvDB_0MVG1mfNO_gsjcmhqZ8m6DH2GTZvA==&p=1&fvj=1&vjs=3
Salesforce Advanced Software Engineer- Information Technology,Veterans First Mortgage,"Salt Lake City, UT",6 days ago,10-29-2020,"This position will be responsible for all technical aspects of Salesforce.com, including custom code, data migrations, data quality, systems integrations, third…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cta0q3Fn-II_B5T1-oabtLlHx-de18-iz89De6JCiCnOPvT-mytxiu88NZ9BzDYMz2e3tqIiIVX6bBu76B6nRiRWN5UltjffDYjTMhclspCchKpaG4wwoqYG2AedHRjAqtOZ80tr3Lto4_WJEBJvaBi3yklfFqxInTnI7RplW1RUBp236JZEfuLAgKCk9eQJKQcw6y7G0hjgD7kbICL0fx3nPXLmYhj85OQ4XdDus5qxP5QdrvvKvdEwwEZodZEE2O3q3VlfMEh8ZtB8EH_m-Gn0wg90w-E9BpjrZDsSnUHGaRg8jSMnsSXhyK2RW4RlwPjcQ9ihzhg4afAetq4QYzSZoVef4v7x7PCkmZ9Nl758hL2MGEL-am_G3XTFBFaGw-7-jn2_qrOpFLC6awQeMx_zJvxu57yTTDCGNyyH1x4z0jef9B1Pr_Igf2GrUo5-AyABySOqcIHO41Drz2SGksZ8QaMvUHjz7C5tBy4N4LJ-HxtwDXL5mgIp_G8U9CaEYV_U1zXowiLCWzQqpn0_igURTeGv5k3ssqiVYzg6maCg==&p=2&fvj=0&vjs=3
Senior Data Engineer,Rinchem Company Inc.,"Albuquerque, NM",7 days ago,10-29-2020,"Minimum of 10 years of experience as a data engineer or data architect.
Experience with both normalized and dimensional data models, structured and unstructured…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dg9jke5OYs_Zwj6ej1fxox5y0ndh4lAJ490Efsm_eZDPK8xNs0pzaxQSqXzPSsw9n2csRFx3Kp0kqHCLasPt84GYHFDdzXhDEKPLRnG9t0ztauJpZ8Sc5OeNBvq-McZ2w8dqgDH-SnvZNYGVV8WI3cnXHfqd-z9yi0KYzJrPIpQFAms52axIyWG8x8AQ7QS5BXKhexyqBxkXGgJ-U7wAqrrE27DDEaoQcHLmJ8xN4ZEoAImMKWUvYfQ7c21H8Wh2neB0ml4zuBHvAkcgdKyYkoiWSLWnOpZ295DcxACoFAklVq0cSX97J-RdmaaXyX4X9_IQZNcz9b6cOJV4M9zDqP1vnSYsiisizlDlf7rSAlCL1yYNn23AwuE_OUP6-rnMG-kPUMWM_Qy5XM3Ld_mEiNIj99K1lrIuc9RMulzVfgY0C6Co-Z8vFpdleXL1LNoLdgOtFXio5oqOkNZJVH1si-&p=3&fvj=1&vjs=3
"Data Engineer / Clearance Needed / Fort Bragg, NC",Lockheed Martin,"Fayetteville, NC",Just posted,10-29-2020,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
The ideal candidate is an experienced data pipeline builder and data…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CBo8qKybRb57wAxhfWDRtyUPVOgEgWgSDOADQxJ3V9H0tz0qBJHU48DEZ0eVgbTpI_-dXgGOvl61I63auBH0RwCscpilNpwk3t7_c8c8s2W3N7E3P2iYqNtwPv1-muGzeXLDjmy6uBquwrQwXumK8oVVuP4qLY_AhlIb_vQu2qrrxLbEpSKnqF7_tTSorBEpGpa5EQNGA3C0djMmWnGyPh7RbBWXleXkSGqU-1YmJQUeeiD563CScvlCagOafOHSvcqOKjaPaJnCWrg-b443fnL9Ti27j-eeoXEjYEawzbVE6eCZYLxwPiewuVdYAcSNwkXc050No0QGzMTD53Ismyp9yhu1J320kKfvtmdRdKb9VMs6yo50ZrROLqr223hgf4wK6vGthvlw==&p=4&fvj=0&vjs=3
Data Engineer,ProVantage Corporate Solutions,"Raleigh, NC",8 days ago,10-29-2020,"Design and consult on a big data project for our new product.
The ideal candidate is comfortable with a mixed role that encompasses multiple facets of the data…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Alzi3G-ZU2qu23LvS7-EjJWw1ZAX8pKlLmsj8sjw4-23XbJXYERZDkIc3Q_Lb0CQPNspX61DI4yQAHH0gL1neEGrd3VoNq25Y77arN-nHNwff7HJwWxHvUVKMSq4sRAPNBxsQSODuch1Y5fA0fr84yO-umribkUnPsjxlmk-Ddd1BWSAiL9CL6mY65qcFPnTiPaV6GTBX-I-Y5SebU0JARtm1542xXsgMDdJaqn2MM58Qv_DSb-a5X5BeymSlkztL-BxmsomuDDU4nfjXt5yVBJhXZTmeaCSs2thUDythwmy0Oj--rpA7-EKcqu3ataGYS5IzUC26PahxY_GBDI6HQryNw1_mygb1jNXD83YeyyFJV1KgxaFhMFPXdySbzYIHaL_vvhxve_KaWUqvEh5AKK_RJ9Avw80BhTvN2lxtZr28iWHHVa3ckTp_UT6CgWEB65zEO-Tu6D-N2JZCRHQFd6aqd1mcCCA-r5yL-Tef1dBEBALOySMT6&p=5&fvj=0&vjs=3
Cloud Data Engineer,Horizontal,"Eagan, MN",1 day ago,10-29-2020,"Experience driving and developing medium complex data integration solutions using two or more of data management software tools.
Big Data and NoSQL experience.",$90 an hour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DVLD0NwOQENOe9ZSCJLsOt28qZmO4545ePKxrhyheH8ozpOzhav8ejIYdQ_MchV7lZ8ZG_hnyFbPFplqsiGvDyX5mjK4Pntg8RGfnWcy1CFHZCEL8GOkb6QYXsUeosjdYz-eYA3ZBQzVwZtSxMDQhNdSYpla5RGoN-kxClDErNxXnX7uiXCzQoK4pueSnAdSHVUsxvf4mHxkXUlKzxFHR7ENFTono15QLX-WX9qZsj7exgMljeu22uF0uKNDpkxxakdNmnuTzYLrN3ZMUaGavdecCTV-SYb_a76VNkdhCzZ1tmcytWQvT_Wm7sQ-n0nk6KtIlS5iO8ku-QLyJx5U201c-n3cdaEZGxiFwZx6dG9jH6OKSVa-JdBSxIeujvhtWbW-5MgIcjqetlWiuDp3GT30_Ds_4vMBcz6Xc2wCubJloGRPJgXj6pb4KSOd66qrT-mszaDb6zSmcEjlQnkrcCCzRXlgTde4Ow4KF_UEMss0pB-WvN2NTD32hIohww9L6maAe55kDMsXKtzt5p9gezy86T9gRFkEoKe5SdT7AbiEcc8v-BiRqwv0ie-8C7NEYgexYCl3J9ODHHEMSbFMypjChVc4V6dHZWPtKMkpL71oyQvn0VriAawIfSviSqb0pIi0LkC1332zsMZusnkspNyUN4II82FqJ5QuId5WVi4ieuSO_OStg1NZVdG0pFHKrfwTE4ylCoaXCKqdPwbshr6srJqcykeXCmSE9ip1zqOX-YefcSafQsS1adwar8mTBYivHtyCqWUPQOGs5D6nZNgPXASBe5XNS1VYcRsM0sikS--h_hO5wVspC8YwaMIGcx4zitWVA_Ej6mPSTIqrYRdNyCwZWlFuPxXtpELyUKphQcfp0mZVs3li50Ck5Z5WtsXjuDEgZKgB2b9ayAv6kIVTlt_ljOkifK5FvDx1VFPi6ivEXv2b8nqo4caVvoWzKq9fmQTk-h6bRuhczSyhWOivKOFxPfcgvnkR5dJTdF4Q==&p=6&fvj=0&vjs=3
Data Engineer,J & C Associates Ltd,"Kingdom City, MO",Just posted,10-29-2020,"Convert element of the existing SQL based solution to automate mi jobs on sap data services (V4.2), experience of BO and DB2 required 4.",,https://www.indeed.com/rc/clk?jk=005d4951f6d3e6b6&fccid=1685770ff9dd7777&vjs=3
Data Engineer,Binary tech consulting corp,"Redmond, WA",2 days ago,10-29-2020,"Azure data bricks, SQL) - (Azure SQL, SSIS, ADLS).
Client is seeking a 10 Yrs Exp Profile.
Software development: 1 year (Preferred).",$43 - $73 an hour,https://www.indeed.com/company/Binary-tech-consulting-corp/jobs/Data-Engineer-a6d16b8d8bf0b58d?fccid=92926768a4445bd3&vjs=3
Data Engineer,DataPattern,"Cambridge, MA",2 days ago,10-29-2020,"9 years of overall IT experience with at least 3 years of experience in Big Data (Hadoop, Spark, AWS).
Should have experience with “R” programming.",From $55 an hour,https://www.indeed.com/company/DataPattern/jobs/Data-Engineer-7e7053471f597dc7?fccid=37a615ec01506c9f&vjs=3
